ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
B47,1,1,CS+,left,left,right,1,1,6,NaN
B47,2,1,CS+,right,right,left,1,1,6,NaN
B47,3,1,CS-,left,left,right,1,1,5,NaN
B47,4,1,CS-,left,right,left,1,1,4.1833,NaN
B47,5,1,CS+,right,left,left,1,1,5,NaN
B47,6,1,CS-,right,left,right,1,1,4.1833,NaN
B47,7,1,CS-,left,left,left,0,1,3.4833,NaN
B47,8,1,CS+,right,right,left,1,1,3.4833,NaN
B47,9,1,CS-,left,left,left,1,1,4.85,NaN
B47,10,1,CS+,right,right,right,1,1,2.9167,NaN
B47,11,1,CS-,right,left,right,1,1,2.4333,NaN
B47,12,1,CS+,right,left,left,1,1,2.0333,NaN
B47,13,1,CS-,left,right,right,0,0,4.85,NaN
B47,14,1,CS-,left,left,right,NaN,NaN,NaN,NaN
B47,15,1,CS+,right,left,right,1,1,1.7,NaN
B47,16,1,CS-,left,left,right,1,0,6,NaN
B47,17,1,CS+,left,right,left,1,1,6,NaN
B47,18,1,CS-,right,right,left,1,1,1.4167,NaN
B47,19,1,CS-,right,left,left,1,1,1.1833,NaN
B47,20,1,CS+,right,left,right,0,0,1,NaN
B47,21,1,CS-,right,right,right,0,1,1.3833,NaN
B47,22,1,CS+,left,right,right,0,1,5,NaN
B47,23,1,CS-,left,right,left,1,1,6,NaN
B47,24,1,CS-,right,right,left,NaN,NaN,NaN,NaN
B47,25,1,CS-,right,right,left,1,1,1.9333,NaN
B47,26,1,CS+,left,left,right,1,1,6,NaN
B47,27,1,CS-,left,right,right,1,1,5,NaN
B47,28,1,CS+,left,left,left,1,1,5,NaN
B47,29,1,CS+,left,right,left,1,1,4.1833,NaN
B47,30,1,CS-,right,right,right,0,0,1.9333,NaN
B47,31,1,CS+,left,right,right,1,1,4.1833,NaN
B47,32,1,CS+,right,right,right,1,1,2.6833,NaN
B47,33,2,CS-,right,left,left,1,1,2.6833,NaN
B47,34,2,CS+,left,left,left,1,1,3.4833,NaN
B47,35,2,CS-,right,right,right,0,0,2.2333,NaN
B47,36,2,CS+,left,left,left,1,1,3.4833,NaN
B47,37,2,CS+,right,right,right,1,1,3.1167,NaN
B47,38,2,CS-,left,left,left,1,1,2.9167,NaN
B47,39,2,CS+,right,left,right,1,1,3.1167,NaN
B47,40,2,CS-,right,left,right,1,1,2.6,NaN
B47,41,2,CS-,left,right,left,0,1,2.9167,NaN
B47,42,2,CS+,left,left,right,1,1,4.05,NaN
B47,43,2,CS-,right,right,left,1,1,2.6,NaN
B47,44,2,CS+,left,left,left,1,1,4.05,NaN
B47,45,2,CS-,left,right,right,0,0,3.3833,NaN
B47,46,2,CS-,right,left,left,1,0,2.1667,NaN
B47,47,2,CS+,right,left,right,1,1,2.1667,NaN
B47,48,2,CS+,right,left,left,0,1,1.8,NaN
B47,49,2,CS-,left,right,left,1,0,4.6833,NaN
B47,50,2,CS+,left,right,left,1,1,4.6833,NaN
B47,51,2,CS+,left,left,right,1,1,3.9167,NaN
B47,52,2,CS-,right,right,right,1,0,2.5167,NaN
B47,53,2,CS-,right,left,left,1,0,2.5167,NaN
B47,54,2,CS-,left,right,left,NaN,NaN,NaN,NaN
B47,55,2,CS+,left,right,left,1,1,3.9167,NaN
B47,56,2,CS-,left,left,right,1,0,3.2667,NaN
B47,57,2,CS+,right,right,left,1,1,2.1,NaN
B47,58,2,CS-,right,right,left,NaN,NaN,NaN,NaN
B47,59,2,CS-,right,right,left,1,1,2.1,NaN
B47,60,2,CS+,left,right,right,1,1,3.2667,NaN
B47,61,2,CS-,right,left,right,1,1,1.75,NaN
B47,62,2,CS+,left,right,right,1,1,2.7333,NaN
B47,63,2,CS-,left,left,left,1,1,2.7333,NaN
B47,64,2,CS-,left,right,right,1,0,2.2667,NaN
B47,65,3,CS+,right,right,left,1,1,1.75,NaN
B47,66,3,CS-,left,left,right,1,1,2.2667,NaN
B47,67,3,CS+,right,right,right,1,0,1.4667,NaN
B47,68,3,CS+,right,left,left,1,1,1.4667,NaN
B47,69,3,CS-,left,right,left,0,1,1.9,NaN
B47,70,3,CS+,left,left,left,1,1,2.6333,NaN
B47,71,3,CS-,right,right,right,0,0,1.2167,NaN
B47,72,3,CS+,right,left,left,1,1,1.7,NaN
B47,73,3,CS+,right,left,right,1,1,1.7,NaN
B47,74,3,CS-,left,right,right,1,0,2.6333,NaN
B47,75,3,CS-,left,left,left,1,0,2.2,NaN
B47,76,3,CS+,right,left,left,1,1,1.4167,NaN
B47,77,3,CS+,left,left,right,1,1,2.2,NaN
B47,78,3,CS-,right,right,left,0,1,1.4167,NaN
B47,79,3,CS+,right,right,left,1,1,1.9667,NaN
B47,80,3,CS-,left,right,left,NaN,NaN,NaN,NaN
B47,81,3,CS-,left,right,left,1,1,1.8333,NaN
B47,82,3,CS-,right,right,right,1,1,1.9667,NaN
B47,83,3,CS+,right,right,right,1,1,1.6333,NaN
B47,84,3,CS-,left,right,right,0,0,1.8333,NaN
B47,85,3,CS+,right,right,left,1,1,1.6333,NaN
B47,86,3,CS+,left,right,left,0,1,2.55,NaN
B47,87,3,CS-,right,left,left,NaN,NaN,NaN,NaN
B47,88,3,CS-,right,right,left,0,1,1.3667,NaN
B47,89,3,CS-,left,left,left,1,1,3.55,NaN
B47,90,3,CS+,left,right,right,1,1,3.55,NaN
B47,91,3,CS-,left,left,right,1,0,2.9667,NaN
B47,92,3,CS+,left,left,left,1,1,2.9667,NaN
B47,93,3,CS+,left,right,right,1,1,2.4667,NaN
B47,94,3,CS-,right,left,right,1,0,1.9,NaN
B47,95,3,CS-,right,left,left,1,0,1.9,NaN
B47,96,3,CS+,right,left,right,1,1,1.5833,NaN
B47,97,4,CS+,right,right,right,1,1,1.5833,NaN
B47,98,4,CS-,right,left,right,1,1,1.3167,NaN
B47,99,4,CS-,left,left,right,1,1,2.4667,NaN
B47,100,4,CS+,left,left,right,1,0,2.0667,NaN
B47,101,4,CS-,right,left,left,1,1,1.3167,NaN
B47,102,4,CS+,left,right,left,1,1,2.0667,NaN
B47,103,4,CS-,right,right,left,0,1,1.1,NaN
B47,104,4,CS+,right,left,left,1,1,1.5333,NaN
B47,105,4,CS-,left,left,left,1,1,1.7167,NaN
B47,106,4,CS+,left,left,right,1,1,1.7167,NaN
B47,107,4,CS-,right,left,left,0,0,1.5333,NaN
B47,108,4,CS-,left,left,right,1,1,1.4333,NaN
B47,109,4,CS+,right,left,left,0,1,2.1333,NaN
B47,110,4,CS+,right,left,right,1,1,2.9667,NaN
B47,111,4,CS-,right,left,right,1,1,2.9667,NaN
B47,112,4,CS-,right,right,right,1,1,2.4667,NaN
B47,113,4,CS+,left,left,right,1,1,1.4333,NaN
B47,114,4,CS+,left,right,right,1,0,1.2,NaN
B47,115,4,CS-,left,right,left,1,0,1.2,NaN
B47,116,4,CS+,right,left,right,1,1,2.4667,NaN
B47,117,4,CS+,left,right,left,1,0,1,NaN
B47,118,4,CS-,left,left,left,1,1,1,NaN
B47,119,4,CS+,left,right,right,1,0,1,NaN
B47,120,4,CS-,right,left,left,NaN,NaN,NaN,NaN
B47,121,4,CS-,right,left,left,1,1,2.0667,NaN
B47,122,4,CS+,left,left,left,1,1,1,NaN
B47,123,4,CS-,left,left,right,0,0,1,NaN
B47,124,4,CS+,right,right,right,1,1,2.0667,NaN
B47,125,4,CS-,right,left,right,1,1,1.7167,NaN
B47,126,4,CS+,left,right,left,0,1,1.3833,NaN
B47,127,4,CS-,left,right,left,1,1,1.9333,NaN
B47,128,4,CS-,left,left,left,NaN,NaN,NaN,NaN
B47,129,5,CS-,left,right,right,1,1,1.9333,NaN
B47,130,5,CS+,right,right,right,1,1,1.7167,NaN
B47,131,5,CS-,left,right,right,1,1,1.6167,NaN
B47,132,5,CS+,right,right,left,1,1,1.4333,NaN
B47,133,5,CS-,right,right,right,1,1,1.4333,NaN
B47,134,5,CS-,right,right,left,1,1,1.2,NaN
B47,135,5,CS+,right,right,left,1,1,1.2,NaN
B47,136,5,CS+,left,left,left,1,1,1.6167,NaN
