ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
B45,1,1,CS-,left,right,right,0,1,6,NaN
B45,2,1,CS+,right,left,right,1,1,6,NaN
B45,3,1,CS-,right,right,right,0,1,5,NaN
B45,4,1,CS-,right,right,right,1,1,6,NaN
B45,5,1,CS+,left,right,right,0,0,6,NaN
B45,6,1,CS-,right,right,left,1,1,6,NaN
B45,7,1,CS+,left,right,left,1,1,6,NaN
B45,8,1,CS-,left,right,right,1,1,5,NaN
B45,9,1,CS+,left,left,left,1,0,5,NaN
B45,10,1,CS-,right,left,left,1,0,5,NaN
B45,11,1,CS+,left,right,left,1,1,4.1833,NaN
B45,12,1,CS-,right,right,left,1,1,5,NaN
B45,13,1,CS+,left,right,right,0,1,4.1833,NaN
B45,14,1,CS-,right,left,right,1,1,4.1833,NaN
B45,15,1,CS-,left,right,left,0,0,5.8,NaN
B45,16,1,CS+,right,left,left,1,1,4.1833,NaN
B45,17,1,CS-,left,left,right,0,1,6,NaN
B45,18,1,CS-,left,left,left,1,1,6,NaN
B45,19,1,CS-,right,left,right,NaN,NaN,NaN,NaN
B45,20,1,CS+,right,left,right,1,1,3.4833,NaN
B45,21,1,CS-,right,left,right,1,1,3.4833,NaN
B45,22,1,CS+,right,right,left,1,1,2.9167,NaN
B45,23,1,CS-,left,left,left,NaN,NaN,NaN,NaN
B45,24,1,CS-,left,left,right,1,1,6,NaN
B45,25,1,CS+,left,left,right,1,0,5,NaN
B45,26,1,CS+,right,right,right,0,0,2.9167,NaN
B45,27,1,CS-,left,right,left,0,1,5,NaN
B45,28,1,CS+,right,right,right,0,0,4.05,NaN
B45,29,1,CS+,left,left,right,1,0,6,NaN
B45,30,1,CS-,left,left,left,1,1,6,NaN
B45,31,1,CS+,right,right,left,1,1,5.6167,NaN
B45,32,1,CS+,left,left,left,0,1,5,NaN
B45,33,2,CS-,right,left,left,0,1,5.6167,NaN
B45,34,2,CS+,right,left,left,0,1,6,NaN
B45,35,2,CS+,right,left,right,1,0,6,NaN
B45,36,2,CS-,right,left,left,1,1,6,NaN
B45,37,2,CS+,left,right,left,0,1,6,NaN
B45,38,2,CS+,right,right,left,1,1,5,NaN
B45,39,2,CS-,right,left,left,0,1,5,NaN
B45,40,2,CS+,right,left,left,1,1,6,NaN
B45,41,2,CS-,left,left,right,1,0,6,NaN
B45,42,2,CS+,left,left,left,1,1,6,NaN
B45,43,2,CS-,left,left,left,1,1,5,NaN
B45,44,2,CS-,left,left,left,1,1,5,NaN
B45,45,2,CS+,left,left,right,1,0,4.1833,NaN
B45,46,2,CS-,right,left,right,1,0,6,NaN
B45,47,2,CS-,right,right,left,1,1,5,NaN
B45,48,2,CS+,right,left,left,0,1,5,NaN
B45,49,2,CS-,right,right,right,1,0,6,NaN
B45,50,2,CS+,left,left,left,0,1,4.1833,NaN
B45,51,2,CS-,right,right,left,NaN,NaN,NaN,NaN
B45,52,2,CS+,left,right,right,0,1,5.8,NaN
