ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
B50,1,1,CS+,right,right,left,1,0,6,NaN
B50,2,1,CS-,right,right,right,0,0,5,NaN
B50,3,1,CS-,left,left,right,1,1,6,NaN
B50,4,1,CS+,right,right,right,1,0,6,NaN
B50,5,1,CS+,left,right,right,0,1,5,NaN
B50,6,1,CS-,left,right,right,1,0,6,NaN
B50,7,1,CS+,left,left,left,0,1,6,NaN
B50,8,1,CS+,left,right,left,0,0,6,NaN
B50,9,1,CS-,left,right,left,1,1,6,NaN
B50,10,1,CS-,right,left,right,1,1,6,NaN
B50,11,1,CS+,right,left,left,0,1,5,NaN
B50,12,1,CS-,right,left,left,1,0,6,NaN
B50,13,1,CS-,left,left,right,NaN,NaN,NaN,NaN
B50,14,1,CS+,right,left,right,1,1,6,NaN
B50,15,1,CS-,right,left,left,1,1,5,NaN
B50,16,1,CS+,right,right,left,1,0,5,NaN
B50,17,1,CS-,left,right,left,1,1,6,NaN
B50,18,1,CS+,left,left,right,1,1,5,NaN
B50,19,1,CS-,right,left,right,0,1,4.1833,NaN
B50,20,1,CS-,left,left,right,0,0,5,NaN
B50,21,1,CS+,left,right,left,0,1,6,NaN
B50,22,1,CS+,left,left,left,1,0,6,NaN
B50,23,1,CS-,left,left,left,0,0,6,NaN
B50,24,1,CS+,right,right,right,0,0,5.8,NaN
B50,25,1,CS-,left,right,left,NaN,NaN,NaN,NaN
B50,26,1,CS-,right,right,right,0,1,6,NaN
B50,27,1,CS-,left,left,left,1,0,6,NaN
B50,28,1,CS+,left,left,right,0,0,6,NaN
B50,29,1,CS+,left,right,right,0,1,6,NaN
B50,30,1,CS-,right,right,left,1,0,6,NaN
B50,31,1,CS+,right,left,left,0,0,6,NaN
B50,32,1,CS-,left,right,right,0,1,6,NaN
B50,33,2,CS-,right,right,left,0,0,6,NaN
B50,34,2,CS+,right,left,right,1,1,6,NaN
B50,35,2,CS+,right,left,left,1,0,6,NaN
B50,36,2,CS+,right,right,left,0,1,5,NaN
B50,37,2,CS-,right,right,right,1,1,6,NaN
B50,38,2,CS+,left,right,left,1,1,6,NaN
B50,39,2,CS-,left,right,left,0,1,6,NaN
B50,40,2,CS-,right,right,left,0,0,6,NaN
B50,41,2,CS+,left,left,left,0,0,6,NaN
B50,42,2,CS+,left,left,left,0,1,6,NaN
B50,43,2,CS-,left,left,left,0,0,6,NaN
B50,44,2,CS+,right,right,left,1,1,6,NaN
B50,45,2,CS+,left,right,left,0,0,6,NaN
B50,46,2,CS-,right,left,left,1,1,6,NaN
