ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
B18,1,1,CS-,left,left,right,1,1,6,NaN
B18,2,1,CS-,right,right,right,1,1,6,NaN
B18,3,1,CS+,left,right,left,1,1,5,NaN
B18,4,1,CS+,right,left,right,1,1,5,NaN
B18,5,1,CS-,left,right,right,1,1,4.1833,NaN
B18,6,1,CS-,left,right,right,1,1,3.4833,NaN
B18,7,1,CS+,right,left,left,1,1,4.1833,NaN
B18,8,1,CS-,left,left,left,0,0,2.9167,NaN
B18,9,1,CS+,left,left,right,1,1,4.05,NaN
B18,10,1,CS+,left,left,right,1,1,4.05,NaN
B18,11,1,CS-,left,left,right,0,0,3.3833,NaN
B18,12,1,CS+,left,left,left,1,1,4.6833,NaN
B18,13,1,CS-,left,left,right,NaN,NaN,NaN,NaN
B18,14,1,CS-,left,right,left,1,1,4.6833,NaN
B18,15,1,CS+,right,right,right,1,1,3.4833,NaN
B18,16,1,CS+,right,left,left,1,1,2.9167,NaN
B18,17,1,CS-,left,right,left,1,1,3.9167,NaN
B18,18,1,CS-,right,right,right,1,1,2.4333,NaN
B18,19,1,CS+,right,left,right,1,1,2.0333,NaN
B18,20,1,CS+,left,right,right,1,1,3.9167,NaN
B18,21,1,CS-,right,left,left,NaN,NaN,NaN,NaN
B18,22,1,CS-,right,left,left,0,1,1.7,NaN
B18,23,1,CS+,left,right,right,1,1,3.2667,NaN
B18,24,1,CS+,right,right,right,1,1,2.35,NaN
B18,25,1,CS-,right,left,left,1,1,2.35,NaN
B18,26,1,CS+,right,right,left,1,1,1.9667,NaN
B18,27,1,CS-,right,right,left,1,1,1.9667,NaN
B18,28,1,CS-,right,left,right,1,1,1.6333,NaN
B18,29,1,CS+,left,left,left,1,1,3.2667,NaN
B18,30,1,CS-,left,left,left,1,1,2.7333,NaN
B18,31,1,CS+,left,right,left,1,1,2.7333,NaN
B18,32,1,CS+,right,right,left,1,1,1.6333,NaN
B18,33,2,CS-,right,right,left,1,1,1.3667,NaN
B18,34,2,CS-,right,left,right,1,1,1.3667,NaN
B18,35,2,CS-,right,right,left,1,1,1.1333,NaN
B18,36,2,CS+,left,left,right,1,1,2.2667,NaN
B18,37,2,CS-,right,left,right,1,1,1.1333,NaN
B18,38,2,CS-,left,right,right,1,1,2.2667,NaN
B18,39,2,CS+,right,left,left,1,1,1,NaN
B18,40,2,CS-,left,left,left,1,1,1.9,NaN
B18,41,2,CS+,left,right,right,1,1,1.9,NaN
B18,42,2,CS+,left,right,left,1,1,1.5833,NaN
B18,43,2,CS-,right,left,left,0,0,1,NaN
B18,44,2,CS-,right,right,right,1,1,1.3833,NaN
B18,45,2,CS+,right,left,left,1,1,1.3833,NaN
B18,46,2,CS+,left,left,left,1,1,1.5833,NaN
B18,47,2,CS-,left,right,right,1,1,1.3167,NaN
B18,48,2,CS-,left,left,right,1,1,1.3167,NaN
B18,49,2,CS+,right,right,left,1,1,1.1667,NaN
B18,50,2,CS-,right,right,left,1,1,1.1667,NaN
B18,51,2,CS+,right,right,left,1,1,1,NaN
B18,52,2,CS-,right,right,right,1,1,1,NaN
B18,53,2,CS-,left,left,left,1,1,1.1,NaN
B18,54,2,CS-,left,right,left,NaN,NaN,NaN,NaN
B18,55,2,CS+,left,right,right,1,1,1.1,NaN
B18,56,2,CS-,left,left,left,NaN,NaN,NaN,NaN
B18,57,2,CS-,left,left,right,1,1,1,NaN
B18,58,2,CS-,right,left,right,1,0,1,NaN
B18,59,2,CS+,right,left,right,1,1,1,NaN
B18,60,2,CS+,left,left,right,1,1,1,NaN
B18,61,2,CS-,right,left,left,1,1,1,NaN
B18,62,2,CS+,right,right,right,1,1,1,NaN
B18,63,2,CS+,left,right,left,1,1,1,NaN
B18,64,2,CS-,left,right,left,0,1,1,NaN
B18,65,3,CS+,right,right,right,1,1,1,NaN
B18,66,3,CS+,right,left,right,1,1,1,NaN
B18,67,3,CS-,left,right,left,1,0,1.3833,NaN
B18,68,3,CS+,left,left,left,1,1,1.3833,NaN
B18,69,3,CS+,left,right,right,1,1,1.1667,NaN
B18,70,3,CS-,left,right,left,1,1,1.1667,NaN
B18,71,3,CS-,right,right,right,1,0,1,NaN
B18,72,3,CS+,right,left,right,1,0,1,NaN
B18,73,3,CS-,left,right,right,1,1,1,NaN
B18,74,3,CS+,left,left,right,1,1,1,NaN
B18,75,3,CS-,right,left,right,1,1,1,NaN
B18,76,3,CS+,right,left,left,1,0,1,NaN
B18,77,3,CS+,right,right,left,1,1,1,NaN
B18,78,3,CS-,left,left,right,1,1,1,NaN
B18,79,3,CS-,left,left,left,1,1,1,NaN
B18,80,3,CS+,right,right,left,1,1,1,NaN
B18,81,3,CS-,left,right,right,1,1,1,NaN
B18,82,3,CS-,right,right,right,1,1,1,NaN
B18,83,3,CS+,right,right,right,1,1,1,NaN
B18,84,3,CS+,right,left,right,1,1,1,NaN
B18,85,3,CS-,left,right,left,1,1,1,NaN
B18,86,3,CS-,right,right,left,1,1,1,NaN
B18,87,3,CS-,right,left,left,NaN,NaN,NaN,NaN
B18,88,3,CS+,left,right,left,1,1,1,NaN
B18,89,3,CS+,left,left,left,1,1,1,NaN
B18,90,3,CS-,right,left,left,1,1,1,NaN
B18,91,3,CS+,left,right,left,1,1,1,NaN
B18,92,3,CS-,right,left,right,1,1,1,NaN
B18,93,3,CS+,left,left,left,1,1,1,NaN
B18,94,3,CS-,left,left,left,1,1,1,NaN
B18,95,3,CS-,right,right,left,NaN,NaN,NaN,NaN
B18,96,3,CS+,left,left,right,1,1,1,NaN
B18,97,4,CS-,right,left,left,1,1,1,NaN
B18,98,4,CS+,left,right,right,1,1,1,NaN
B18,99,4,CS-,right,right,left,1,1,1,NaN
B18,100,4,CS-,left,left,right,1,1,1,NaN
B18,101,4,CS+,right,left,left,1,1,1,NaN
