ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
B25,1,1,CS-,left,left,right,1,0,6,NaN
B25,2,1,CS+,right,left,right,1,0,6,NaN
B25,3,1,CS-,right,left,right,1,0,5,NaN
B25,4,1,CS+,right,right,right,0,0,4.1833,NaN
B25,5,1,CS-,right,left,left,1,1,5.8,NaN
B25,6,1,CS-,left,left,left,1,1,5,NaN
B25,7,1,CS+,right,left,left,1,1,5.8,NaN
B25,8,1,CS+,left,left,left,1,1,4.1833,NaN
B25,9,1,CS-,right,right,left,0,1,4.85,NaN
B25,10,1,CS+,left,right,left,0,1,3.4833,NaN
B25,11,1,CS-,right,right,right,0,0,6,NaN
B25,12,1,CS+,left,right,right,0,0,4.85,NaN
B25,13,1,CS-,right,right,right,NaN,NaN,NaN,NaN
B25,14,1,CS+,right,left,left,1,1,6,NaN
B25,15,1,CS-,left,right,left,0,0,6,NaN
B25,16,1,CS-,left,right,right,0,1,6,NaN
B25,17,1,CS+,right,right,left,0,0,6,NaN
B25,18,1,CS-,right,left,right,1,1,6,NaN
B25,19,1,CS+,right,right,left,0,0,6,NaN
B25,20,1,CS-,right,left,left,1,0,6,NaN
B25,21,1,CS+,right,right,right,0,1,6,NaN
B25,22,1,CS-,right,right,right,0,1,6,NaN
B25,23,1,CS+,right,left,right,1,1,6,NaN
B25,24,1,CS-,left,right,left,NaN,NaN,NaN,NaN
B25,25,1,CS-,left,right,left,1,0,6,NaN
B25,26,1,CS+,left,left,left,1,1,6,NaN
B25,27,1,CS-,right,right,left,0,1,6,NaN
B25,28,1,CS+,left,right,left,0,1,5,NaN
B25,29,1,CS-,left,right,right,0,0,6,NaN
B25,30,1,CS-,left,left,right,1,0,6,NaN
B25,31,1,CS+,left,right,right,0,0,6,NaN
B25,32,1,CS-,left,left,left,1,1,6,NaN
B25,33,2,CS+,left,left,right,1,0,6,NaN
B25,34,2,CS+,left,left,right,1,0,5,NaN
B25,35,2,CS-,right,left,right,1,0,6,NaN
B25,36,2,CS-,left,left,left,1,1,5,NaN
B25,37,2,CS+,right,right,left,0,1,6,NaN
B25,38,2,CS-,left,left,right,1,0,4.1833,NaN
B25,39,2,CS+,right,left,left,1,1,6,NaN
B25,40,2,CS+,left,left,right,1,0,4.1833,NaN
B25,41,2,CS-,right,right,right,0,0,6,NaN
B25,42,2,CS-,left,left,left,NaN,NaN,NaN,NaN
B25,43,2,CS+,left,left,left,1,1,3.4833,NaN
B25,44,2,CS+,right,right,right,0,0,6,NaN
B25,45,2,CS-,right,right,right,0,0,6,NaN
B25,46,2,CS+,left,left,left,1,1,3.4833,NaN
B25,47,2,CS-,left,right,left,0,1,2.9167,NaN
B25,48,2,CS+,left,right,left,0,1,4.05,NaN
B25,49,2,CS+,left,left,right,1,0,5.6167,NaN
B25,50,2,CS-,left,right,right,0,0,5.6167,NaN
B25,51,2,CS-,right,left,right,1,0,6,NaN
B25,52,2,CS-,left,left,left,NaN,NaN,NaN,NaN
B25,53,2,CS+,right,left,right,1,0,6,NaN
B25,54,2,CS+,left,right,right,0,0,6,NaN
B25,55,2,CS-,right,right,left,0,1,5,NaN
B25,56,2,CS+,left,right,right,0,0,6,NaN
B25,57,2,CS+,right,right,right,0,0,6,NaN
B25,58,2,CS-,left,right,left,0,1,6,NaN
B25,59,2,CS-,left,left,right,1,0,6,NaN
B25,60,2,CS+,left,right,left,0,1,6,NaN
B25,61,2,CS-,left,left,left,1,1,6,NaN
B25,62,2,CS+,right,left,right,1,0,6,NaN
B25,63,2,CS-,right,left,left,1,1,6,NaN
B25,64,2,CS+,right,left,left,1,1,5,NaN
B25,65,3,CS-,left,right,right,0,0,6,NaN
B25,66,3,CS-,right,right,left,0,1,5,NaN
B25,67,3,CS+,right,right,left,0,1,6,NaN
B25,68,3,CS-,right,left,left,1,1,6,NaN
B25,69,3,CS+,right,left,right,1,0,6,NaN
B25,70,3,CS-,right,right,right,0,0,5,NaN
B25,71,3,CS+,right,right,right,0,0,6,NaN
B25,72,3,CS-,right,right,right,0,0,6,NaN
B25,73,3,CS-,left,right,left,0,1,6,NaN
B25,74,3,CS+,left,right,right,0,0,6,NaN
B25,75,3,CS-,left,right,right,0,0,6,NaN
B25,76,3,CS-,right,left,right,1,0,6,NaN
B25,77,3,CS-,right,left,left,NaN,NaN,NaN,NaN
B25,78,3,CS+,left,left,right,1,0,6,NaN
B25,79,3,CS-,left,right,right,0,0,6,NaN
B25,80,3,CS-,left,left,right,1,0,6,NaN
B25,81,3,CS+,right,left,right,1,0,6,NaN
B25,82,3,CS-,right,left,right,1,0,5,NaN
B25,83,3,CS+,left,right,right,0,0,6,NaN
B25,84,3,CS+,right,right,right,0,0,5,NaN
B25,85,3,CS-,left,left,left,1,1,6,NaN
B25,86,3,CS-,left,left,right,1,0,6,NaN
B25,87,3,CS+,right,left,left,1,1,6,NaN
