ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
B29,1,1,CS+,left,right,right,1,1,6,NaN
B29,2,1,CS-,left,right,right,1,1,5,NaN
B29,3,1,CS-,right,left,left,1,1,6,NaN
B29,4,1,CS+,left,right,left,1,1,4.1833,NaN
B29,5,1,CS-,left,left,right,1,1,3.4833,NaN
B29,6,1,CS+,right,right,right,1,1,5,NaN
B29,7,1,CS-,right,right,right,0,0,4.1833,NaN
B29,8,1,CS-,left,right,left,1,0,2.9167,NaN
B29,9,1,CS+,right,right,left,1,1,5.8,NaN
B29,10,1,CS-,left,left,left,1,0,2.4333,NaN
B29,11,1,CS+,left,left,right,0,0,2.0333,NaN
B29,12,1,CS-,right,left,right,NaN,NaN,NaN,NaN
B29,13,1,CS-,right,right,left,1,1,5.8,NaN
B29,14,1,CS-,right,right,right,0,0,4.85,NaN
B29,15,1,CS+,left,right,left,1,1,2.8167,NaN
B29,16,1,CS-,left,left,left,1,0,2.8167,NaN
B29,17,1,CS+,left,left,left,1,1,2.35,NaN
B29,18,1,CS+,left,left,left,0,1,2.35,NaN
B29,19,1,CS-,right,left,left,NaN,NaN,NaN,NaN
B29,20,1,CS-,left,right,right,0,0,3.2667,NaN
B29,21,1,CS+,right,left,right,1,1,6,NaN
B29,22,1,CS-,left,left,right,1,1,4.5333,NaN
B29,23,1,CS+,right,left,left,1,1,6,NaN
B29,24,1,CS-,right,left,left,0,1,5,NaN
B29,25,1,CS+,left,right,right,1,1,4.5333,NaN
B29,26,1,CS+,right,right,left,1,1,6,NaN
B29,27,1,CS-,right,right,left,0,1,6,NaN
B29,28,1,CS-,right,left,right,0,1,6,NaN
B29,29,1,CS+,right,left,left,1,1,6,NaN
B29,30,1,CS-,right,left,right,1,1,6,NaN
B29,31,1,CS+,right,left,right,1,0,5,NaN
B29,32,1,CS+,left,left,right,0,1,3.7833,NaN
B29,33,2,CS-,left,right,left,0,1,5.2667,NaN
B29,34,2,CS+,right,right,right,0,0,5,NaN
B29,35,2,CS+,left,right,left,1,1,6,NaN
B29,36,2,CS-,right,right,right,0,1,6,NaN
B29,37,2,CS-,left,left,right,1,1,6,NaN
B29,38,2,CS+,left,left,left,1,1,5,NaN
B29,39,2,CS-,right,right,right,0,0,6,NaN
B29,40,2,CS-,left,left,right,1,1,5,NaN
B29,41,2,CS+,left,left,left,1,1,4.1833,NaN
B29,42,2,CS-,left,left,left,1,1,4.1833,NaN
B29,43,2,CS+,right,right,right,1,1,6,NaN
B29,44,2,CS+,left,right,left,1,1,3.4833,NaN
