ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
B30,1,1,CS-,left,right,left,1,1,6,NaN
B30,2,1,CS+,right,right,right,1,1,6,NaN
B30,3,1,CS-,left,right,right,1,1,5,NaN
B30,4,1,CS+,left,right,right,1,1,4.1833,NaN
B30,5,1,CS-,left,left,left,1,1,3.4833,NaN
B30,6,1,CS+,right,left,left,1,1,5,NaN
B30,7,1,CS+,right,left,right,1,1,4.1833,NaN
B30,8,1,CS-,left,right,left,1,1,2.9167,NaN
B30,9,1,CS+,right,right,left,1,1,3.4833,NaN
B30,10,1,CS+,left,left,right,1,1,2.4333,NaN
B30,11,1,CS-,right,right,left,1,1,2.9167,NaN
B30,12,1,CS-,left,right,right,1,1,2.0333,NaN
B30,13,1,CS-,left,left,right,NaN,NaN,NaN,NaN
B30,14,1,CS+,right,left,right,1,1,2.4333,NaN
B30,15,1,CS-,right,right,right,1,1,2.0333,NaN
B30,16,1,CS+,left,left,right,1,1,1.7,NaN
B30,17,1,CS-,left,left,right,1,1,1.4167,NaN
B30,18,1,CS-,right,left,right,1,1,1.7,NaN
B30,19,1,CS+,right,right,right,1,1,1.4167,NaN
B30,20,1,CS-,right,right,right,1,1,1.1833,NaN
B30,21,1,CS+,left,right,right,0,1,1.1833,NaN
B30,22,1,CS-,right,left,right,1,1,1,NaN
B30,23,1,CS+,left,left,left,1,1,1.6333,NaN
B30,24,1,CS-,right,right,left,1,0,1,NaN
B30,25,1,CS+,left,left,left,1,0,1.6333,NaN
B30,26,1,CS-,right,left,left,1,1,1,NaN
B30,27,1,CS-,left,right,left,NaN,NaN,NaN,NaN
B30,28,1,CS+,left,right,left,1,1,1.3667,NaN
B30,29,1,CS+,left,right,left,1,1,1.3667,NaN
B30,30,1,CS-,right,left,left,1,0,1,NaN
B30,31,1,CS+,right,right,left,0,1,1,NaN
B30,32,1,CS-,left,left,left,0,0,1.1333,NaN
B30,33,2,CS+,right,left,left,1,1,1.3833,NaN
B30,34,2,CS-,left,left,right,0,1,1.5833,NaN
B30,35,2,CS-,left,left,right,1,0,2.2,NaN
B30,36,2,CS-,right,right,left,0,0,1.3833,NaN
B30,37,2,CS+,left,left,right,1,1,2.2,NaN
B30,38,2,CS+,right,left,right,1,1,1.9333,NaN
B30,39,2,CS-,left,left,right,1,0,1.8333,NaN
B30,40,2,CS+,right,right,left,1,1,1.9333,NaN
B30,41,2,CS-,right,left,right,1,1,1.6167,NaN
B30,42,2,CS-,right,right,right,1,1,1.6167,NaN
B30,43,2,CS+,right,left,left,1,1,1.35,NaN
B30,44,2,CS+,left,right,left,1,0,1.8333,NaN
B30,45,2,CS-,left,right,left,1,1,1.5333,NaN
B30,46,2,CS+,left,right,right,0,1,1.5333,NaN
B30,47,2,CS+,left,left,left,1,1,2.1333,NaN
B30,48,2,CS-,right,right,left,1,1,1.35,NaN
B30,49,2,CS-,right,left,left,1,0,1.1167,NaN
B30,50,2,CS+,right,right,right,1,1,1.1167,NaN
B30,51,2,CS-,left,right,right,1,1,2.1333,NaN
B30,52,2,CS-,left,left,left,1,1,1.7833,NaN
B30,53,2,CS+,right,right,left,1,0,1,NaN
B30,54,2,CS-,right,left,left,1,1,1,NaN
B30,55,2,CS-,right,left,left,NaN,NaN,NaN,NaN
B30,56,2,CS+,left,left,left,1,1,1.7833,NaN
B30,57,2,CS+,left,left,right,1,1,1.4833,NaN
B30,58,2,CS-,left,right,left,1,1,1.4833,NaN
B30,59,2,CS+,left,right,left,1,1,1.2333,NaN
B30,60,2,CS+,right,left,right,1,1,1,NaN
B30,61,2,CS-,left,left,left,NaN,NaN,NaN,NaN
B30,62,2,CS-,right,right,right,0,0,1,NaN
B30,63,2,CS+,right,right,right,1,1,1.3833,NaN
B30,64,2,CS-,left,right,right,1,1,1.2333,NaN
B30,65,3,CS+,left,right,right,1,1,1.0333,NaN
B30,66,3,CS-,left,left,left,0,0,1.0333,NaN
B30,67,3,CS+,right,left,left,0,0,1.3833,NaN
B30,68,3,CS-,right,left,right,1,0,1.9333,NaN
B30,69,3,CS-,left,left,right,1,1,1.4333,NaN
B30,70,3,CS+,right,left,left,0,1,1.9333,NaN
B30,71,3,CS-,left,right,left,0,0,1.4333,NaN
B30,72,3,CS+,left,right,left,0,1,2,NaN
B30,73,3,CS+,left,left,right,1,1,2.7667,NaN
B30,74,3,CS-,right,right,right,1,1,2.6833,NaN
B30,75,3,CS-,left,left,left,1,1,2.7667,NaN
B30,76,3,CS+,right,right,left,1,1,2.6833,NaN
B30,77,3,CS-,right,left,left,1,1,2.2333,NaN
B30,78,3,CS+,left,right,right,1,1,2.3167,NaN
B30,79,3,CS-,left,right,right,1,1,2.3167,NaN
B30,80,3,CS+,left,right,left,1,1,1.9333,NaN
B30,81,3,CS+,right,left,left,1,0,2.2333,NaN
B30,82,3,CS-,left,right,right,1,1,1.9333,NaN
B30,83,3,CS-,right,right,left,NaN,NaN,NaN,NaN
B30,84,3,CS+,right,left,right,1,1,1.8667,NaN
B30,85,3,CS-,left,left,left,1,0,1.6167,NaN
B30,86,3,CS+,right,right,right,1,0,1.8667,NaN
B30,87,3,CS-,right,right,right,1,1,1.5667,NaN
B30,88,3,CS+,left,right,right,1,0,1.6167,NaN
B30,89,3,CS+,left,left,right,1,1,1.35,NaN
B30,90,3,CS-,right,right,left,NaN,NaN,NaN,NaN
B30,91,3,CS-,right,right,left,0,0,1.5667,NaN
B30,92,3,CS-,left,right,left,1,1,1.35,NaN
B30,93,3,CS+,left,left,left,1,1,1.1167,NaN
B30,94,3,CS+,right,right,right,0,0,2.1667,NaN
B30,95,3,CS-,left,left,right,1,1,1.1167,NaN
B30,96,3,CS+,right,left,right,1,1,3,NaN
B30,97,4,CS-,right,left,right,1,1,3,NaN
B30,98,4,CS-,right,left,right,1,1,2.5167,NaN
B30,99,4,CS+,left,left,left,0,1,1,NaN
B30,100,4,CS-,right,right,left,1,1,2.5167,NaN
B30,101,4,CS+,right,right,left,0,1,2.1,NaN
B30,102,4,CS-,right,left,left,1,1,2.9167,NaN
B30,103,4,CS+,right,right,right,1,1,2.9167,NaN
B30,104,4,CS+,left,right,right,1,1,1.3833,NaN
B30,105,4,CS-,right,left,right,1,1,2.4333,NaN
B30,106,4,CS-,right,right,right,1,1,2.4333,NaN
B30,107,4,CS+,right,right,left,1,1,2.0333,NaN
B30,108,4,CS-,left,right,left,1,1,1.3833,NaN
B30,109,4,CS+,left,left,left,0,0,1.1667,NaN
B30,110,4,CS-,left,left,right,1,1,1.6167,NaN
B30,111,4,CS+,right,left,left,1,1,2.0333,NaN
B30,112,4,CS+,left,right,left,1,0,1.6167,NaN
B30,113,4,CS-,right,left,left,NaN,NaN,NaN,NaN
B30,114,4,CS-,right,right,right,1,1,1.7,NaN
B30,115,4,CS-,right,right,left,1,1,1.7,NaN
B30,116,4,CS+,right,right,left,0,0,1.4167,NaN
B30,117,4,CS-,left,left,left,1,1,1.35,NaN
B30,118,4,CS+,left,left,left,1,1,1.35,NaN
B30,119,4,CS-,right,left,right,1,1,1.9667,NaN
B30,120,4,CS+,left,left,right,1,1,1.1167,NaN
B30,121,4,CS-,left,left,left,1,0,1.1167,NaN
B30,122,4,CS+,right,left,left,1,0,1.9667,NaN
B30,123,4,CS-,right,left,left,1,1,1.6333,NaN
B30,124,4,CS+,right,left,right,1,0,1.6333,NaN
B30,125,4,CS+,left,right,right,1,1,1,NaN
B30,126,4,CS-,left,right,left,1,0,1,NaN
B30,127,4,CS-,left,right,left,NaN,NaN,NaN,NaN
B30,128,4,CS-,left,right,right,1,1,1,NaN
B30,129,5,CS+,left,left,right,1,0,1,NaN
B30,130,5,CS+,right,left,right,1,1,1.3667,NaN
B30,131,5,CS-,left,left,right,0,1,1,NaN
B30,132,5,CS+,left,right,left,1,1,1.3833,NaN
B30,133,5,CS-,left,right,right,1,1,1.3833,NaN
B30,134,5,CS+,right,right,right,1,1,1.3667,NaN
B30,135,5,CS-,right,left,left,0,0,1.1333,NaN
B30,136,5,CS-,right,right,left,0,1,1.5833,NaN
