ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
B36,1,1,CS+,left,right,left,0,1,6,NaN
B36,2,1,CS+,left,left,right,0,0,6,NaN
B36,3,1,CS-,right,right,right,1,1,6,NaN
B36,4,1,CS-,left,left,left,1,1,6,NaN
B36,5,1,CS+,left,left,right,0,1,5,NaN
B36,6,1,CS-,left,right,right,0,0,6,NaN
B36,7,1,CS+,right,left,left,0,0,5,NaN
B36,8,1,CS+,left,left,left,0,0,6,NaN
B36,9,1,CS-,right,left,right,1,1,6,NaN
B36,10,1,CS+,right,right,right,1,1,6,NaN
B36,11,1,CS-,left,left,left,1,1,6,NaN
B36,12,1,CS+,right,right,left,1,0,5,NaN
B36,13,1,CS-,right,right,left,1,1,5,NaN
B36,14,1,CS-,right,left,right,1,0,4.1833,NaN
B36,15,1,CS+,right,left,left,1,1,4.1833,NaN
B36,16,1,CS-,left,right,left,0,1,6,NaN
B36,17,1,CS+,right,right,left,0,0,3.4833,NaN
B36,18,1,CS-,left,left,right,0,0,6,NaN
B36,19,1,CS-,left,right,right,NaN,NaN,NaN,NaN
B36,20,1,CS+,left,left,left,0,0,6,NaN
B36,21,1,CS+,left,right,left,1,0,6,NaN
B36,22,1,CS-,right,right,right,0,0,4.85,NaN
B36,23,1,CS-,left,left,right,0,0,6,NaN
B36,24,1,CS+,right,right,right,1,0,6,NaN
B36,25,1,CS+,left,right,right,0,0,6,NaN
B36,26,1,CS-,right,left,left,1,0,6,NaN
B36,27,1,CS-,right,right,left,NaN,NaN,NaN,NaN
B36,28,1,CS-,left,right,right,0,0,6,NaN
B36,29,1,CS+,left,right,right,0,1,6,NaN
B36,30,1,CS-,left,right,left,1,1,6,NaN
B36,31,1,CS+,right,left,right,1,0,5,NaN
B36,32,1,CS-,right,left,left,1,0,5,NaN
B36,33,2,CS-,right,right,left,1,1,4.1833,NaN
B36,34,2,CS+,right,left,right,1,0,4.1833,NaN
B36,35,2,CS+,left,left,right,0,1,6,NaN
B36,36,2,CS+,left,left,left,1,1,6,NaN
B36,37,2,CS-,right,right,right,1,0,3.4833,NaN
B36,38,2,CS+,left,right,left,1,1,6,NaN
B36,39,2,CS-,right,right,left,1,0,3.4833,NaN
B36,40,2,CS-,left,left,right,0,1,5,NaN
B36,41,2,CS+,right,left,right,1,1,2.9167,NaN
B36,42,2,CS-,left,right,left,1,0,6,NaN
B36,43,2,CS+,left,left,right,1,0,6,NaN
B36,44,2,CS-,right,right,left,0,0,2.9167,NaN
B36,45,2,CS+,right,left,right,1,0,4.05,NaN
B36,46,2,CS-,left,left,left,NaN,NaN,NaN,NaN
B36,47,2,CS-,left,right,right,1,1,5,NaN
B36,48,2,CS+,right,right,right,1,1,4.05,NaN
B36,49,2,CS-,left,right,left,0,1,5,NaN
B36,50,2,CS+,right,right,left,1,1,3.3833,NaN
B36,51,2,CS-,left,left,left,1,1,6,NaN
B36,52,2,CS+,right,right,right,0,0,3.3833,NaN
B36,53,2,CS+,right,left,left,1,1,4.6833,NaN
B36,54,2,CS-,right,left,left,NaN,NaN,NaN,NaN
B36,55,2,CS-,right,left,right,0,1,4.6833,NaN
B36,56,2,CS-,left,left,right,0,0,6,NaN
B36,57,2,CS+,left,right,right,0,0,6,NaN
B36,58,2,CS+,right,left,left,1,0,6,NaN
B36,59,2,CS-,right,left,left,1,1,6,NaN
B36,60,2,CS+,left,right,left,0,0,6,NaN
B36,61,2,CS-,right,right,right,0,0,5,NaN
B36,62,2,CS-,right,left,right,1,1,6,NaN
B36,63,2,CS+,left,left,left,1,1,6,NaN
B36,64,2,CS+,left,right,right,1,1,6,NaN
B36,65,3,CS-,right,left,left,0,0,6,NaN
B36,66,3,CS+,right,right,left,1,1,6,NaN
B36,67,3,CS-,left,left,left,0,1,5,NaN
B36,68,3,CS-,left,right,right,1,0,6,NaN
B36,69,3,CS+,left,left,left,1,0,6,NaN
B36,70,3,CS+,right,right,right,0,1,6,NaN
B36,71,3,CS-,right,right,left,1,0,6,NaN
B36,72,3,CS+,right,right,right,1,1,6,NaN
B36,73,3,CS-,left,right,left,0,1,5,NaN
B36,74,3,CS+,left,right,right,0,0,6,NaN
B36,75,3,CS-,right,right,right,1,0,5,NaN
B36,76,3,CS+,left,right,left,0,1,6,NaN
B36,77,3,CS-,left,left,right,1,1,6,NaN
B36,78,3,CS-,left,right,left,1,1,6,NaN
B36,79,3,CS+,left,right,left,1,1,5,NaN
B36,80,3,CS+,right,right,left,0,1,5,NaN
B36,81,3,CS-,left,left,left,1,0,5,NaN
B36,82,3,CS-,right,right,left,NaN,NaN,NaN,NaN
B36,83,3,CS+,right,right,left,1,1,6,NaN
