ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
B14,1,1,CS+,right,right,right,1,1,6,NaN
B14,2,1,CS+,left,left,right,1,1,6,NaN
B14,3,1,CS-,right,right,right,1,1,5,NaN
B14,4,1,CS-,right,left,right,1,1,4.1833,NaN
B14,5,1,CS+,left,right,right,1,1,5,NaN
B14,6,1,CS-,left,right,left,1,1,4.1833,NaN
B14,7,1,CS+,right,right,right,1,1,3.4833,NaN
B14,8,1,CS-,left,left,left,1,1,3.4833,NaN
B14,9,1,CS+,right,left,left,1,1,2.9167,NaN
B14,10,1,CS-,right,right,left,1,1,2.4333,NaN
B14,11,1,CS+,right,left,right,1,1,2.0333,NaN
B14,12,1,CS-,right,left,left,1,1,1.7,NaN
B14,13,1,CS+,left,right,left,1,0,2.9167,NaN
B14,14,1,CS-,left,left,right,0,0,2.4333,NaN
B14,15,1,CS-,right,left,right,1,1,1.4167,NaN
B14,16,1,CS-,left,left,right,NaN,NaN,NaN,NaN
B14,17,1,CS+,right,left,right,1,1,1.1833,NaN
B14,18,1,CS+,left,right,left,1,1,3.3833,NaN
B14,19,1,CS-,right,right,right,1,1,1,NaN
B14,20,1,CS-,left,left,right,1,1,3.3833,NaN
B14,21,1,CS+,right,right,left,1,1,1,NaN
B14,22,1,CS-,right,right,left,NaN,NaN,NaN,NaN
B14,23,1,CS-,left,right,right,1,1,2.8167,NaN
B14,24,1,CS+,right,right,left,1,1,1,NaN
B14,25,1,CS-,left,right,left,1,1,2.8167,NaN
B14,26,1,CS-,right,right,left,0,0,1,NaN
B14,27,1,CS+,left,right,right,1,1,2.35,NaN
B14,28,1,CS+,left,left,right,1,0,2.35,NaN
B14,29,1,CS-,left,left,left,1,0,1.9667,NaN
B14,30,1,CS+,left,left,left,1,1,1.9667,NaN
B14,31,1,CS-,left,right,right,1,1,1.6333,NaN
B14,32,1,CS-,right,left,left,1,1,1.3833,NaN
B14,33,2,CS+,left,left,left,1,1,1.6333,NaN
B14,34,2,CS+,right,left,left,1,1,1.3833,NaN
B14,35,2,CS-,right,left,right,1,1,1.1667,NaN
B14,36,2,CS-,left,right,left,1,1,1.3667,NaN
B14,37,2,CS+,right,right,left,1,1,1.1667,NaN
B14,38,2,CS-,right,right,left,1,1,1,NaN
B14,39,2,CS-,left,left,right,1,1,1.3667,NaN
B14,40,2,CS+,left,left,right,1,0,1.1333,NaN
B14,41,2,CS-,right,left,left,1,1,1,NaN
B14,42,2,CS+,right,right,left,1,1,1,NaN
B14,43,2,CS-,left,right,right,1,1,1.1333,NaN
B14,44,2,CS+,left,right,right,1,0,1,NaN
B14,45,2,CS-,right,right,right,1,0,1,NaN
B14,46,2,CS-,left,right,right,1,1,1,NaN
B14,47,2,CS+,left,left,right,0,1,1,NaN
B14,48,2,CS-,right,right,right,1,1,1,NaN
B14,49,2,CS+,left,left,left,1,0,1.3833,NaN
B14,50,2,CS-,right,left,left,1,1,1,NaN
B14,51,2,CS-,right,right,left,1,0,1,NaN
B14,52,2,CS+,left,right,right,1,1,1.3833,NaN
B14,53,2,CS-,left,right,left,1,1,1.1667,NaN
B14,54,2,CS-,left,right,left,NaN,NaN,NaN,NaN
B14,55,2,CS+,right,left,left,1,1,1,NaN
B14,56,2,CS+,left,right,left,1,1,1.1667,NaN
B14,57,2,CS-,left,left,left,1,1,1,NaN
B14,58,2,CS+,right,right,right,1,1,1,NaN
B14,59,2,CS-,right,left,right,0,0,1,NaN
B14,60,2,CS-,right,left,left,NaN,NaN,NaN,NaN
B14,61,2,CS+,right,left,left,1,1,1.3833,NaN
B14,62,2,CS+,left,left,left,1,1,1,NaN
B14,63,2,CS-,left,left,right,1,0,1,NaN
B14,64,2,CS+,right,left,right,1,1,1.3833,NaN
B14,65,3,CS+,right,right,right,1,1,1.1667,NaN
B14,66,3,CS-,left,left,left,0,0,1,NaN
B14,67,3,CS+,left,right,left,1,1,1.3833,NaN
B14,68,3,CS+,right,left,right,1,1,1.1667,NaN
B14,69,3,CS+,right,right,left,1,1,1,NaN
