ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
A33,1,1,CS-,left,left,right,1,0,6,NaN
A33,2,1,CS+,left,right,left,0,1,5,NaN
A33,3,1,CS+,right,left,left,0,1,6,NaN
A33,4,1,CS-,right,left,left,0,1,6,NaN
A33,5,1,CS-,left,left,left,0,0,6,NaN
A33,6,1,CS+,right,left,right,0,1,6,NaN
A33,7,1,CS-,left,left,right,0,1,6,NaN
A33,8,1,CS+,right,left,left,1,1,6,NaN
A33,9,1,CS-,right,left,left,NaN,NaN,NaN,NaN
A33,10,1,CS+,left,left,right,1,1,6,NaN
A33,11,1,CS-,left,left,left,1,1,6,NaN
A33,12,1,CS+,left,left,right,1,1,5,NaN
A33,13,1,CS-,right,left,right,1,1,5,NaN
A33,14,1,CS-,left,right,right,1,1,5,NaN
A33,15,1,CS+,left,right,left,0,1,4.1833,NaN
A33,16,1,CS-,right,left,left,NaN,NaN,NaN,NaN
A33,17,1,CS-,right,right,right,1,1,5,NaN
A33,18,1,CS-,right,right,right,1,1,4.1833,NaN
A33,19,1,CS+,right,right,right,1,1,4.1833,NaN
A33,20,1,CS-,right,right,left,1,1,3.4833,NaN
A33,21,1,CS+,left,left,left,1,1,5.8,NaN
A33,22,1,CS-,right,right,left,1,1,3.4833,NaN
A33,23,1,CS+,left,right,right,1,1,5.8,NaN
A33,24,1,CS-,left,right,right,0,1,4.85,NaN
A33,25,1,CS+,right,right,left,1,0,2.9167,NaN
A33,26,1,CS+,right,left,right,1,1,2.9167,NaN
A33,27,1,CS-,left,right,left,1,1,6,NaN
A33,28,1,CS+,left,right,right,1,0,6,NaN
A33,29,1,CS-,left,right,left,1,1,5,NaN
A33,30,1,CS-,right,left,right,1,1,2.4333,NaN
A33,31,1,CS+,left,left,left,1,1,5,NaN
A33,32,1,CS+,right,right,left,1,0,2.4333,NaN
A33,33,2,CS-,right,left,left,1,1,2.0333,NaN
A33,34,2,CS+,right,right,right,1,1,2.0333,NaN
A33,35,2,CS+,left,right,right,1,1,4.1833,NaN
A33,36,2,CS-,left,right,left,1,1,4.1833,NaN
A33,37,2,CS+,right,right,left,0,1,1.7,NaN
A33,38,2,CS-,left,right,right,0,0,3.4833,NaN
A33,39,2,CS+,left,right,left,1,0,4.85,NaN
A33,40,2,CS+,right,left,left,1,1,2.35,NaN
A33,41,2,CS-,left,right,left,1,1,4.85,NaN
A33,42,2,CS+,left,left,left,1,1,4.05,NaN
A33,43,2,CS-,left,left,left,0,1,4.05,NaN
A33,44,2,CS-,left,left,left,NaN,NaN,NaN,NaN
A33,45,2,CS+,left,right,right,1,0,5.6167,NaN
A33,46,2,CS-,left,right,right,0,1,5.6167,NaN
A33,47,2,CS+,right,left,right,1,1,2.35,NaN
A33,48,2,CS-,right,left,left,1,1,1.9667,NaN
A33,49,2,CS-,right,right,left,NaN,NaN,NaN,NaN
A33,50,2,CS-,left,left,right,0,0,6,NaN
A33,51,2,CS+,left,left,left,1,0,6,NaN
A33,52,2,CS-,right,right,left,0,1,1.9667,NaN
A33,53,2,CS-,right,left,left,0,0,2.7333,NaN
A33,54,2,CS+,right,right,right,1,1,3.7833,NaN
A33,55,2,CS-,right,right,right,1,1,3.7833,NaN
A33,56,2,CS+,right,right,left,1,1,3.1667,NaN
A33,57,2,CS-,right,left,right,1,1,3.1667,NaN
A33,58,2,CS+,left,right,left,1,1,6,NaN
A33,59,2,CS+,right,left,right,1,0,2.6333,NaN
A33,60,2,CS-,right,left,right,1,0,2.6333,NaN
A33,61,2,CS-,left,left,right,0,1,5,NaN
A33,62,2,CS+,left,left,right,1,1,6,NaN
A33,63,2,CS-,right,right,right,1,1,2.2,NaN
A33,64,2,CS-,left,left,left,1,1,6,NaN
A33,65,3,CS+,right,left,left,1,1,2.2,NaN
A33,66,3,CS+,right,right,right,1,1,1.8333,NaN
A33,67,3,CS-,right,right,left,0,0,1.8333,NaN
A33,68,3,CS+,left,left,right,1,1,5,NaN
A33,69,3,CS+,right,left,left,1,1,2.55,NaN
A33,70,3,CS+,left,left,right,1,1,5,NaN
A33,71,3,CS-,right,right,right,1,1,2.55,NaN
A33,72,3,CS-,left,right,left,1,1,4.1833,NaN
A33,73,3,CS+,right,left,left,1,1,2.1333,NaN
A33,74,3,CS-,right,left,left,1,0,2.1333,NaN
A33,75,3,CS-,right,left,right,1,0,1.7833,NaN
A33,76,3,CS+,left,left,left,1,1,4.1833,NaN
A33,77,3,CS-,right,right,right,0,1,1.7833,NaN
A33,78,3,CS-,right,right,left,1,0,2.4667,NaN
A33,79,3,CS+,right,right,left,1,1,2.4667,NaN
A33,80,3,CS-,right,right,left,1,0,2.0667,NaN
A33,81,3,CS-,left,left,left,NaN,NaN,NaN,NaN
A33,82,3,CS+,right,left,right,1,1,2.0667,NaN
A33,83,3,CS+,left,left,right,1,1,3.4833,NaN
