ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
A8,1,1,CS-,right,right,left,0,1,6,NaN
A8,2,1,CS+,right,right,left,1,1,6,NaN
A8,3,1,CS-,right,left,left,0,1,5,NaN
A8,4,1,CS+,right,left,left,0,1,6,NaN
A8,5,1,CS-,right,left,right,1,0,6,NaN
A8,6,1,CS+,right,right,right,1,0,6,NaN
A8,7,1,CS-,right,right,right,1,1,5,NaN
A8,8,1,CS+,left,left,right,0,0,6,NaN
A8,9,1,CS-,left,left,left,0,0,6,NaN
A8,10,1,CS+,left,right,left,0,1,6,NaN
A8,11,1,CS+,right,left,right,0,1,5,NaN
A8,12,1,CS-,left,right,left,0,0,6,NaN
A8,13,1,CS-,right,right,right,1,1,6,NaN
A8,14,1,CS+,left,left,right,1,0,6,NaN
A8,15,1,CS-,left,right,left,NaN,NaN,NaN,NaN
A8,16,1,CS-,left,left,left,1,1,5,NaN
A8,17,1,CS-,left,left,right,1,1,5,NaN
A8,18,1,CS+,left,right,right,0,0,4.1833,NaN
A8,19,1,CS-,left,right,left,1,1,5.8,NaN
A8,20,1,CS+,left,left,left,1,1,5.8,NaN
A8,21,1,CS+,right,right,right,0,0,6,NaN
A8,22,1,CS-,left,right,right,1,1,4.85,NaN
A8,23,1,CS-,left,left,right,1,1,4.85,NaN
A8,24,1,CS+,left,right,left,1,1,4.05,NaN
A8,25,1,CS-,left,left,left,NaN,NaN,NaN,NaN
A8,26,1,CS+,left,right,right,1,1,4.05,NaN
A8,27,1,CS-,right,left,right,1,0,6,NaN
A8,28,1,CS+,left,left,left,1,1,3.3833,NaN
A8,29,1,CS-,right,left,left,1,1,6,NaN
A8,30,1,CS+,right,left,left,1,1,5,NaN
A8,31,1,CS-,left,right,right,1,1,3.3833,NaN
A8,32,1,CS-,right,right,left,0,1,5,NaN
A8,33,2,CS+,right,left,right,1,0,6,NaN
A8,34,2,CS+,right,right,left,0,0,6,NaN
A8,35,2,CS+,left,left,left,1,1,2.8167,NaN
A8,36,2,CS-,right,right,right,1,0,6,NaN
A8,37,2,CS+,right,left,right,0,0,6,NaN
A8,38,2,CS-,left,left,left,1,1,2.8167,NaN
A8,39,2,CS+,right,right,left,0,1,6,NaN
A8,40,2,CS-,left,right,left,1,1,2.35,NaN
