ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
A43,1,1,CS+,right,left,left,1,1,6,NaN
A43,2,1,CS+,left,right,left,1,1,6,NaN
A43,3,1,CS-,right,right,left,0,0,5,NaN
A43,4,1,CS-,left,right,left,0,1,5,NaN
A43,5,1,CS+,right,right,left,0,0,6,NaN
A43,6,1,CS-,right,right,right,1,0,6,NaN
A43,7,1,CS+,right,left,left,1,1,6,NaN
A43,8,1,CS-,right,left,right,1,1,5,NaN
A43,9,1,CS-,left,left,right,1,0,6,NaN
A43,10,1,CS-,right,right,left,NaN,NaN,NaN,NaN
A43,11,1,CS+,left,left,left,1,1,6,NaN
A43,12,1,CS-,left,right,left,NaN,NaN,NaN,NaN
A43,13,1,CS-,left,right,right,1,1,5,NaN
A43,14,1,CS+,right,left,right,1,0,5,NaN
A43,15,1,CS+,left,right,right,1,1,5,NaN
A43,16,1,CS-,left,right,right,1,1,4.1833,NaN
A43,17,1,CS+,left,right,left,1,1,4.1833,NaN
A43,18,1,CS+,right,right,left,0,0,4.1833,NaN
A43,19,1,CS-,right,right,left,0,1,5.8,NaN
A43,20,1,CS+,left,left,left,1,1,3.4833,NaN
A43,21,1,CS-,left,left,left,1,1,3.4833,NaN
A43,22,1,CS+,left,right,right,1,1,2.9167,NaN
A43,23,1,CS-,right,left,left,1,0,6,NaN
A43,24,1,CS-,left,left,left,1,1,2.9167,NaN
A43,25,1,CS+,right,left,right,1,0,6,NaN
A43,26,1,CS-,right,left,left,0,0,5,NaN
A43,27,1,CS-,right,left,right,1,0,6,NaN
A43,28,1,CS+,left,left,right,1,1,2.4333,NaN
A43,29,1,CS+,left,left,right,1,1,2.4333,NaN
A43,30,1,CS-,right,right,right,1,1,6,NaN
A43,31,1,CS+,right,right,right,1,1,5,NaN
A43,32,1,CS+,right,right,right,1,0,5,NaN
A43,33,2,CS-,left,right,left,1,0,2.0333,NaN
A43,34,2,CS-,left,left,right,1,1,2.0333,NaN
A43,35,2,CS-,right,left,left,0,0,4.1833,NaN
A43,36,2,CS-,left,right,right,1,1,1.7,NaN
A43,37,2,CS+,right,right,left,0,0,5.8,NaN
A43,38,2,CS-,left,right,right,1,0,1.7,NaN
A43,39,2,CS+,right,left,left,1,0,6,NaN
A43,40,2,CS+,left,left,right,1,1,1.4167,NaN
A43,41,2,CS-,right,right,right,1,1,6,NaN
A43,42,2,CS+,right,right,left,0,0,5,NaN
A43,43,2,CS-,right,right,left,1,1,6,NaN
A43,44,2,CS+,right,left,right,0,1,6,NaN
A43,45,2,CS-,right,right,left,1,1,6,NaN
A43,46,2,CS+,left,right,left,1,1,1.4167,NaN
A43,47,2,CS+,right,right,right,0,0,6,NaN
A43,48,2,CS-,right,left,right,0,0,6,NaN
A43,49,2,CS+,left,left,left,1,1,1.1833,NaN
A43,50,2,CS-,left,right,left,NaN,NaN,NaN,NaN
A43,51,2,CS-,left,left,right,1,0,1.1833,NaN
A43,52,2,CS+,left,left,right,0,0,1,NaN
A43,53,2,CS-,left,left,right,1,1,1.3833,NaN
A43,54,2,CS-,left,left,left,1,1,1.3833,NaN
A43,55,2,CS+,left,right,left,1,1,1.1667,NaN
A43,56,2,CS+,right,left,left,0,0,6,NaN
A43,57,2,CS-,left,right,left,1,1,1.1667,NaN
A43,58,2,CS-,left,left,left,1,1,1,NaN
A43,59,2,CS+,left,right,right,1,1,1,NaN
A43,60,2,CS-,left,left,left,NaN,NaN,NaN,NaN
A43,61,2,CS+,left,left,left,1,1,1,NaN
A43,62,2,CS-,right,left,right,1,1,6,NaN
A43,63,2,CS+,right,right,right,1,1,6,NaN
A43,64,2,CS-,left,right,left,0,1,1,NaN
A43,65,3,CS+,right,left,right,0,0,5,NaN
A43,66,3,CS-,right,right,right,1,1,6,NaN
A43,67,3,CS+,left,right,right,1,1,1.3833,NaN
A43,68,3,CS-,right,left,left,1,0,6,NaN
A43,69,3,CS-,left,right,right,0,1,1.3833,NaN
A43,70,3,CS-,left,left,right,1,1,1.9333,NaN
A43,71,3,CS+,left,left,right,0,0,1.9333,NaN
A43,72,3,CS+,left,right,left,1,1,2.6833,NaN
A43,73,3,CS-,right,left,right,1,0,5,NaN
A43,74,3,CS+,right,right,left,1,1,5,NaN
A43,75,3,CS-,left,right,left,1,1,2.6833,NaN
A43,76,3,CS-,left,left,left,1,0,2.2333,NaN
A43,77,3,CS+,left,right,left,1,1,2.2333,NaN
A43,78,3,CS+,left,right,right,0,0,1.8667,NaN
A43,79,3,CS-,right,right,right,1,1,4.1833,NaN
A43,80,3,CS+,right,right,right,1,1,4.1833,NaN
A43,81,3,CS-,right,right,left,1,1,3.4833,NaN
A43,82,3,CS+,left,left,right,1,1,2.6,NaN
A43,83,3,CS+,right,left,left,1,1,3.4833,NaN
A43,84,3,CS-,left,left,left,NaN,NaN,NaN,NaN
A43,85,3,CS-,right,right,right,1,1,2.9167,NaN
A43,86,3,CS+,right,left,right,1,1,2.9167,NaN
A43,87,3,CS-,right,left,left,NaN,NaN,NaN,NaN
A43,88,3,CS-,right,left,right,1,1,2.4333,NaN
A43,89,3,CS-,right,left,left,0,1,2.4333,NaN
A43,90,3,CS+,left,left,left,1,1,2.6,NaN
A43,91,3,CS-,left,right,right,0,1,2.1667,NaN
A43,92,3,CS+,right,right,right,1,1,3.3833,NaN
A43,93,3,CS-,left,left,right,1,0,3,NaN
A43,94,3,CS+,right,left,right,0,1,3.3833,NaN
A43,95,3,CS+,right,right,left,1,1,4.6833,NaN
A43,96,3,CS-,left,left,left,1,0,3,NaN
A43,97,4,CS-,right,right,left,1,1,4.6833,NaN
A43,98,4,CS+,left,right,right,1,1,2.5167,NaN
A43,99,4,CS-,left,right,left,0,1,2.5167,NaN
A43,100,4,CS+,left,left,left,1,1,3.4833,NaN
A43,101,4,CS-,right,left,left,0,0,3.9167,NaN
A43,102,4,CS+,right,left,left,0,1,5.4333,NaN
A43,103,4,CS-,left,left,right,1,0,3.4833,NaN
A43,104,4,CS-,left,right,left,1,0,2.9167,NaN
A43,105,4,CS+,right,right,left,1,1,6,NaN
A43,106,4,CS+,right,left,right,1,1,6,NaN
A43,107,4,CS-,right,right,left,1,1,5,NaN
A43,108,4,CS+,right,left,left,0,1,5,NaN
A43,109,4,CS+,left,left,left,1,1,2.9167,NaN
A43,110,4,CS-,left,right,right,1,0,2.4333,NaN
A43,111,4,CS-,right,left,left,1,1,6,NaN
A43,112,4,CS+,left,right,right,1,1,2.4333,NaN
A43,113,4,CS-,left,left,left,1,0,2.0333,NaN
A43,114,4,CS-,left,left,left,0,1,2.0333,NaN
A43,115,4,CS+,left,right,left,0,0,2.8167,NaN
A43,116,4,CS-,left,right,left,1,1,3.9167,NaN
A43,117,4,CS+,right,right,right,1,1,6,NaN
A43,118,4,CS-,right,right,left,NaN,NaN,NaN,NaN
A43,119,4,CS+,left,left,right,1,0,3.9167,NaN
A43,120,4,CS-,right,right,left,1,1,5,NaN
A43,121,4,CS+,right,right,right,1,1,5,NaN
A43,122,4,CS-,right,right,right,1,1,4.1833,NaN
A43,123,4,CS-,right,left,right,1,1,4.1833,NaN
A43,124,4,CS+,left,right,right,1,0,3.2667,NaN
A43,125,4,CS-,right,right,right,1,1,3.4833,NaN
A43,126,4,CS+,right,left,right,0,1,3.4833,NaN
A43,127,4,CS+,left,left,left,1,1,3.2667,NaN
A43,128,4,CS-,right,left,left,1,1,4.85,NaN
A43,129,5,CS-,right,left,left,NaN,NaN,NaN,NaN
A43,130,5,CS+,left,right,left,1,1,2.7333,NaN
A43,131,5,CS+,right,right,left,1,1,4.85,NaN
A43,132,5,CS-,right,left,right,1,1,4.05,NaN
A43,133,5,CS-,left,left,right,1,1,2.7333,NaN
A43,134,5,CS+,left,left,right,1,1,2.2667,NaN
A43,135,5,CS+,right,left,left,1,1,4.05,NaN
A43,136,5,CS-,left,right,right,1,1,2.2667,NaN
