ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
A12,1,1,CS+,right,left,right,1,1,6,NaN
A12,2,1,CS-,right,left,right,1,1,5,NaN
A12,3,1,CS+,right,left,left,1,1,4.1833,NaN
A12,4,1,CS-,right,right,left,1,1,3.4833,NaN
A12,5,1,CS-,left,left,right,1,1,6,NaN
A12,6,1,CS+,left,right,left,1,1,5,NaN
A12,7,1,CS-,right,right,right,1,1,2.9167,NaN
A12,8,1,CS+,left,right,right,1,1,4.1833,NaN
A12,9,1,CS-,left,right,left,1,1,3.4833,NaN
A12,10,1,CS+,left,left,left,1,1,2.9167,NaN
A12,11,1,CS-,left,left,left,0,0,2.4333,NaN
A12,12,1,CS-,left,right,right,1,1,3.3833,NaN
A12,13,1,CS+,left,right,right,1,0,3.3833,NaN
A12,14,1,CS-,left,right,right,1,1,2.8167,NaN
A12,15,1,CS-,right,left,right,1,1,2.4333,NaN
A12,16,1,CS+,right,left,right,1,1,2.0333,NaN
A12,17,1,CS-,right,right,left,NaN,NaN,NaN,NaN
A12,18,1,CS-,right,left,left,NaN,NaN,NaN,NaN
A12,19,1,CS-,left,right,left,1,1,2.8167,NaN
A12,20,1,CS+,right,right,right,1,0,1.7,NaN
A12,21,1,CS+,right,right,left,1,0,1.4167,NaN
A12,22,1,CS-,left,left,right,1,1,2.35,NaN
A12,23,1,CS+,right,left,left,0,1,1.1833,NaN
A12,24,1,CS+,right,right,right,1,0,1.6333,NaN
A12,25,1,CS-,right,left,left,1,0,1.6333,NaN
A12,26,1,CS-,left,left,left,1,0,2.35,NaN
A12,27,1,CS+,left,left,left,0,0,1.9667,NaN
A12,28,1,CS+,left,left,right,1,1,2.7333,NaN
A12,29,1,CS-,right,right,left,1,1,1.3667,NaN
A12,30,1,CS-,right,right,right,0,1,1.3667,NaN
A12,31,1,CS+,right,right,left,1,1,1.9,NaN
A12,32,1,CS+,left,right,left,1,0,2.7333,NaN
A12,33,2,CS-,right,left,left,1,1,1.9,NaN
A12,34,2,CS+,left,left,right,0,0,2.2667,NaN
A12,35,2,CS+,left,right,right,1,0,3.1667,NaN
A12,36,2,CS+,left,left,left,1,1,3.1667,NaN
A12,37,2,CS-,right,right,left,1,1,1.5833,NaN
A12,38,2,CS+,right,left,left,1,1,1.5833,NaN
A12,39,2,CS-,left,right,right,1,1,2.6333,NaN
A12,40,2,CS+,left,right,left,0,0,2.6333,NaN
A12,41,2,CS+,left,right,right,1,1,3.6667,NaN
A12,42,2,CS-,right,left,left,1,0,1.3167,NaN
A12,43,2,CS-,left,right,right,1,1,3.6667,NaN
A12,44,2,CS+,right,right,right,1,1,1.3167,NaN
A12,45,2,CS+,right,left,left,1,1,1.1,NaN
A12,46,2,CS-,right,left,left,1,1,1.1,NaN
A12,47,2,CS+,left,left,right,0,1,3.05,NaN
A12,48,2,CS+,right,right,left,0,0,1,NaN
