ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
A58,1,1,CS+,left,right,right,0,0,6,NaN
A58,2,1,CS-,left,right,left,1,0,6,NaN
A58,3,1,CS-,right,right,right,1,1,6,NaN
A58,4,1,CS+,left,left,left,1,0,5,NaN
A58,5,1,CS+,left,left,right,1,1,5,NaN
A58,6,1,CS-,right,right,left,0,1,5,NaN
A58,7,1,CS+,left,right,right,1,0,4.1833,NaN
A58,8,1,CS-,right,left,left,NaN,NaN,NaN,NaN
A58,9,1,CS-,left,left,left,1,1,4.1833,NaN
A58,10,1,CS+,right,left,right,1,1,6,NaN
A58,11,1,CS+,left,left,left,0,1,3.4833,NaN
A58,12,1,CS-,left,right,right,1,0,4.85,NaN
A58,13,1,CS+,left,right,left,1,1,4.85,NaN
A58,14,1,CS-,left,left,left,0,1,4.05,NaN
A58,15,1,CS-,left,left,right,0,0,5.6167,NaN
A58,16,1,CS+,right,right,left,1,1,6,NaN
A58,17,1,CS-,left,left,right,1,0,6,NaN
A58,18,1,CS+,right,right,left,1,0,5,NaN
A58,19,1,CS-,right,left,left,1,1,5,NaN
A58,20,1,CS-,right,right,left,0,1,4.1833,NaN
A58,21,1,CS+,left,right,left,1,0,6,NaN
A58,22,1,CS-,left,right,right,1,0,5,NaN
A58,23,1,CS+,left,left,right,1,1,5,NaN
A58,24,1,CS-,left,left,left,NaN,NaN,NaN,NaN
A58,25,1,CS-,right,left,right,1,1,5.8,NaN
A58,26,1,CS+,right,left,left,1,0,5.8,NaN
A58,27,1,CS+,right,right,right,1,0,4.85,NaN
A58,28,1,CS-,right,left,left,0,1,4.85,NaN
A58,29,1,CS+,right,left,left,0,1,6,NaN
A58,30,1,CS+,right,left,right,1,1,6,NaN
A58,31,1,CS-,right,left,right,0,0,6,NaN
A58,32,1,CS-,left,right,left,0,0,4.1833,NaN
A58,33,2,CS+,right,right,right,1,0,6,NaN
A58,34,2,CS-,right,right,right,1,0,6,NaN
A58,35,2,CS-,right,left,right,0,0,5,NaN
A58,36,2,CS-,left,left,left,0,1,5.8,NaN
A58,37,2,CS+,right,right,right,1,1,6,NaN
A58,38,2,CS-,left,right,right,1,1,6,NaN
A58,39,2,CS+,left,left,right,0,1,6,NaN
A58,40,2,CS+,left,left,left,0,1,6,NaN
A58,41,2,CS-,right,right,right,1,1,6,NaN
A58,42,2,CS+,right,right,left,1,1,5,NaN
A58,43,2,CS-,right,left,left,NaN,NaN,NaN,NaN
A58,44,2,CS-,left,right,right,0,1,6,NaN
A58,45,2,CS+,right,left,right,1,1,5,NaN
A58,46,2,CS-,left,left,left,1,1,6,NaN
A58,47,2,CS-,left,right,left,NaN,NaN,NaN,NaN
A58,48,2,CS+,left,right,right,1,1,6,NaN
A58,49,2,CS-,left,left,right,1,1,5,NaN
A58,50,2,CS-,left,right,left,1,0,5,NaN
A58,51,2,CS+,right,right,right,1,1,4.1833,NaN
A58,52,2,CS-,right,right,left,0,1,4.1833,NaN
A58,53,2,CS+,left,right,right,1,0,4.1833,NaN
A58,54,2,CS-,right,left,right,1,1,5.8,NaN
A58,55,2,CS-,left,right,left,1,1,4.1833,NaN
A58,56,2,CS+,right,left,right,0,0,5.8,NaN
A58,57,2,CS-,right,right,left,1,0,6,NaN
A58,58,2,CS+,right,left,left,0,1,6,NaN
A58,59,2,CS-,left,left,right,0,1,3.4833,NaN
A58,60,2,CS+,left,right,left,1,0,4.85,NaN
A58,61,2,CS+,right,right,left,0,0,6,NaN
A58,62,2,CS-,right,left,left,1,0,6,NaN
A58,63,2,CS+,left,left,right,1,1,4.85,NaN
A58,64,2,CS+,left,left,left,1,1,4.05,NaN
A58,65,3,CS-,right,right,right,1,1,6,NaN
A58,66,3,CS+,right,left,left,0,1,5,NaN
A58,67,3,CS+,left,right,left,0,1,4.05,NaN
A58,68,3,CS-,right,left,left,1,0,6,NaN
A58,69,3,CS-,left,right,left,0,0,5.6167,NaN
A58,70,3,CS-,left,right,right,1,0,6,NaN
A58,71,3,CS+,left,left,left,1,1,6,NaN
A58,72,3,CS-,right,right,right,1,0,6,NaN
A58,73,3,CS-,right,left,left,1,0,5,NaN
A58,74,3,CS+,right,right,right,1,1,5,NaN
A58,75,3,CS-,left,left,right,0,0,5,NaN
A58,76,3,CS-,right,left,right,0,0,4.1833,NaN
A58,77,3,CS+,left,right,left,1,0,6,NaN
A58,78,3,CS-,right,left,right,0,1,5.8,NaN
A58,79,3,CS+,left,left,right,1,1,6,NaN
A58,80,3,CS+,right,right,right,0,1,6,NaN
