ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
A18,1,1,CS+,left,right,left,1,1,6,NaN
A18,2,1,CS-,left,left,right,1,1,5,NaN
A18,3,1,CS+,left,right,right,1,1,4.1833,NaN
A18,4,1,CS-,left,left,left,1,1,3.4833,NaN
A18,5,1,CS+,left,left,right,1,1,2.9167,NaN
A18,6,1,CS+,right,right,left,1,1,6,NaN
A18,7,1,CS-,left,right,left,1,1,2.4333,NaN
A18,8,1,CS+,right,right,right,1,1,5,NaN
A18,9,1,CS-,right,left,left,1,1,4.1833,NaN
A18,10,1,CS+,right,left,right,1,1,3.4833,NaN
A18,11,1,CS-,left,right,right,0,0,2.0333,NaN
A18,12,1,CS+,left,left,left,0,0,2.8167,NaN
A18,13,1,CS+,right,left,left,1,1,2.9167,NaN
A18,14,1,CS-,right,left,right,1,1,2.4333,NaN
A18,15,1,CS+,right,right,right,1,1,2.0333,NaN
A18,16,1,CS-,right,right,right,0,0,1.7,NaN
A18,17,1,CS-,left,left,right,1,1,3.9167,NaN
A18,18,1,CS-,left,right,left,NaN,NaN,NaN,NaN
A18,19,1,CS+,left,right,left,1,1,3.9167,NaN
A18,20,1,CS-,right,right,right,0,1,2.35,NaN
A18,21,1,CS-,left,right,left,0,0,3.2667,NaN
A18,22,1,CS+,left,left,right,1,1,4.5333,NaN
A18,23,1,CS-,right,right,left,1,1,3.2667,NaN
A18,24,1,CS-,right,right,left,1,1,3.2667,NaN
A18,25,1,CS+,left,left,left,1,1,4.5333,NaN
A18,26,1,CS-,right,left,right,1,1,2.7333,NaN
A18,27,1,CS-,left,right,left,NaN,NaN,NaN,NaN
A18,28,1,CS+,right,left,left,1,0,2.7333,NaN
A18,29,1,CS-,right,left,left,1,1,2.2667,NaN
A18,30,1,CS+,left,right,right,1,1,3.7833,NaN
A18,31,1,CS-,left,right,right,1,1,3.7833,NaN
A18,32,1,CS-,left,left,left,1,1,3.1667,NaN
A18,33,2,CS+,right,right,left,0,0,2.2667,NaN
A18,34,2,CS+,right,left,right,1,0,3.1667,NaN
A18,35,2,CS-,right,left,left,1,1,3.1667,NaN
A18,36,2,CS+,right,left,right,1,1,2.6333,NaN
A18,37,2,CS-,left,right,left,1,1,3.1667,NaN
A18,38,2,CS-,right,right,left,1,1,2.6333,NaN
A18,39,2,CS+,right,left,right,1,1,2.2,NaN
A18,40,2,CS+,left,right,left,1,1,2.6333,NaN
A18,41,2,CS-,left,left,right,1,1,2.6333,NaN
A18,42,2,CS-,right,right,right,0,1,2.2,NaN
A18,43,2,CS-,left,left,left,NaN,NaN,NaN,NaN
A18,44,2,CS+,left,left,left,1,1,2.2,NaN
A18,45,2,CS-,left,left,left,1,1,2.2,NaN
