ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
A29,1,1,CS-,left,right,right,1,1,6,NaN
A29,2,1,CS+,left,right,right,0,1,5,NaN
A29,3,1,CS-,right,left,left,0,1,6,NaN
A29,4,1,CS+,left,left,right,1,1,6,NaN
A29,5,1,CS-,right,right,right,1,1,6,NaN
A29,6,1,CS+,left,right,left,1,1,6,NaN
A29,7,1,CS+,left,left,right,1,1,5,NaN
A29,8,1,CS-,right,left,right,0,0,5,NaN
A29,9,1,CS-,left,right,left,1,1,5,NaN
A29,10,1,CS+,right,right,left,1,1,6,NaN
A29,11,1,CS-,left,left,right,1,1,4.1833,NaN
A29,12,1,CS+,left,left,left,0,1,4.1833,NaN
A29,13,1,CS-,right,left,right,1,1,6,NaN
A29,14,1,CS+,right,left,left,0,0,5,NaN
A29,15,1,CS+,right,right,left,1,1,6,NaN
A29,16,1,CS-,right,right,right,1,1,6,NaN
A29,17,1,CS+,right,right,right,1,1,5,NaN
A29,18,1,CS-,left,left,left,NaN,NaN,NaN,NaN
A29,19,1,CS+,left,right,right,1,1,5.8,NaN
A29,20,1,CS-,left,right,left,0,1,5.8,NaN
A29,21,1,CS+,right,left,left,1,0,5,NaN
A29,22,1,CS-,left,right,right,1,1,6,NaN
A29,23,1,CS-,right,right,left,1,1,4.1833,NaN
A29,24,1,CS+,left,right,left,1,1,6,NaN
A29,25,1,CS-,left,left,right,1,1,5,NaN
A29,26,1,CS+,right,left,right,1,1,4.1833,NaN
A29,27,1,CS-,right,left,left,NaN,NaN,NaN,NaN
A29,28,1,CS+,right,left,right,1,1,3.4833,NaN
A29,29,1,CS-,left,left,left,1,1,5,NaN
A29,30,1,CS+,right,right,right,1,1,3.4833,NaN
A29,31,1,CS-,right,right,left,1,1,2.9167,NaN
A29,32,1,CS+,left,left,left,1,0,4.1833,NaN
A29,33,2,CS-,right,left,left,1,1,2.9167,NaN
A29,34,2,CS-,left,left,left,1,1,4.1833,NaN
A29,35,2,CS+,right,right,left,1,1,2.4333,NaN
A29,36,2,CS-,right,left,left,1,0,2.4333,NaN
A29,37,2,CS+,right,left,right,1,0,2.0333,NaN
A29,38,2,CS-,right,right,left,1,1,2.0333,NaN
A29,39,2,CS+,left,left,right,1,1,3.4833,NaN
A29,40,2,CS-,right,left,right,0,0,1.7,NaN
A29,41,2,CS-,left,right,right,1,1,3.4833,NaN
A29,42,2,CS+,left,left,left,1,0,2.9167,NaN
A29,43,2,CS-,left,right,left,1,1,2.9167,NaN
A29,44,2,CS+,left,right,left,1,1,2.4333,NaN
A29,45,2,CS+,left,left,right,1,1,2.4333,NaN
A29,46,2,CS-,right,left,left,NaN,NaN,NaN,NaN
A29,47,2,CS-,right,right,right,1,1,2.35,NaN
A29,48,2,CS+,left,right,left,0,0,2.0333,NaN
A29,49,2,CS-,right,left,right,1,1,2.35,NaN
A29,50,2,CS+,right,left,left,0,1,1.9667,NaN
A29,51,2,CS+,left,right,right,0,1,2.8167,NaN
A29,52,2,CS-,left,left,left,NaN,NaN,NaN,NaN
A29,53,2,CS-,right,left,left,1,1,2.7333,NaN
A29,54,2,CS-,left,right,right,1,1,3.9167,NaN
A29,55,2,CS+,right,right,right,1,1,2.7333,NaN
A29,56,2,CS+,right,right,left,1,1,2.2667,NaN
A29,57,2,CS-,left,right,left,1,1,3.9167,NaN
A29,58,2,CS+,right,left,left,1,0,2.2667,NaN
A29,59,2,CS-,left,left,left,0,1,3.2667,NaN
A29,60,2,CS+,left,right,right,1,1,4.5333,NaN
A29,61,2,CS-,left,left,left,1,1,4.5333,NaN
A29,62,2,CS+,right,left,right,1,1,1.9,NaN
A29,63,2,CS-,left,left,right,1,1,3.7833,NaN
A29,64,2,CS+,left,left,left,1,1,3.7833,NaN
A29,65,3,CS-,right,right,left,1,1,1.9,NaN
A29,66,3,CS+,right,right,right,0,1,1.5833,NaN
A29,67,3,CS-,right,right,right,1,1,2.2,NaN
A29,68,3,CS-,left,left,right,1,1,3.1667,NaN
A29,69,3,CS+,right,right,left,1,1,2.2,NaN
A29,70,3,CS-,left,left,left,1,1,3.1667,NaN
A29,71,3,CS-,left,left,left,1,1,2.6333,NaN
A29,72,3,CS+,right,left,left,1,0,1.8333,NaN
A29,73,3,CS-,left,right,right,1,1,2.6333,NaN
A29,74,3,CS+,right,left,right,1,0,1.8333,NaN
A29,75,3,CS+,left,right,left,1,0,2.2,NaN
A29,76,3,CS-,left,left,right,1,1,2.2,NaN
A29,77,3,CS-,right,left,left,1,0,1.5333,NaN
A29,78,3,CS-,left,right,left,NaN,NaN,NaN,NaN
A29,79,3,CS+,right,right,right,1,0,1.5333,NaN
A29,80,3,CS-,left,right,right,1,1,1.8333,NaN
A29,81,3,CS-,left,left,right,1,1,1.8333,NaN
A29,82,3,CS+,left,right,right,1,0,1.5333,NaN
A29,83,3,CS+,left,left,right,1,1,1.5333,NaN
A29,84,3,CS-,right,left,left,1,1,1.2833,NaN
A29,85,3,CS-,left,right,left,NaN,NaN,NaN,NaN
A29,86,3,CS-,left,right,left,0,0,1.2833,NaN
A29,87,3,CS+,left,left,left,0,0,1.7833,NaN
A29,88,3,CS+,left,left,right,1,0,2.4667,NaN
A29,89,3,CS-,right,right,right,1,1,1.2833,NaN
A29,90,3,CS-,right,right,right,1,0,1.0667,NaN
A29,91,3,CS+,left,left,left,0,0,2.4667,NaN
A29,92,3,CS+,left,right,right,1,1,3.4333,NaN
A29,93,3,CS-,right,right,left,0,1,1.0667,NaN
